path,min,max,type
BiologicallyDerivedProduct.id,0,1,http://hl7.org/fhirpath/System.String
BiologicallyDerivedProduct.meta,0,1,Meta
BiologicallyDerivedProduct.implicitRules,0,1,uri
BiologicallyDerivedProduct.language,0,1,code
BiologicallyDerivedProduct.text,0,1,Narrative
BiologicallyDerivedProduct.contained,0,*,Resource
BiologicallyDerivedProduct.extension,0,*,Extension
BiologicallyDerivedProduct.modifierExtension,0,*,Extension
BiologicallyDerivedProduct.productCategory,0,1,Coding
BiologicallyDerivedProduct.productCode,0,1,CodeableConcept
BiologicallyDerivedProduct.parent,0,*,Reference
BiologicallyDerivedProduct.request,0,*,Reference
BiologicallyDerivedProduct.identifier,0,*,Identifier
BiologicallyDerivedProduct.biologicalSourceEvent,0,1,Identifier
BiologicallyDerivedProduct.processingFacility,0,*,Reference
BiologicallyDerivedProduct.division,0,1,string
BiologicallyDerivedProduct.productStatus,0,1,Coding
BiologicallyDerivedProduct.expirationDate,0,1,dateTime
BiologicallyDerivedProduct.collection,0,1,BackboneElement
BiologicallyDerivedProduct.collection.id,0,1,http://hl7.org/fhirpath/System.String
BiologicallyDerivedProduct.collection.extension,0,*,Extension
BiologicallyDerivedProduct.collection.modifierExtension,0,*,Extension
BiologicallyDerivedProduct.collection.collector,0,1,Reference
BiologicallyDerivedProduct.collection.source,0,1,Reference
BiologicallyDerivedProduct.collection.collected[x],0,1,dateTime;Period
BiologicallyDerivedProduct.storageTempRequirements,0,1,Range
BiologicallyDerivedProduct.property,0,*,BackboneElement
BiologicallyDerivedProduct.property.id,0,1,http://hl7.org/fhirpath/System.String
BiologicallyDerivedProduct.property.extension,0,*,Extension
BiologicallyDerivedProduct.property.modifierExtension,0,*,Extension
BiologicallyDerivedProduct.property.type,1,1,CodeableConcept
BiologicallyDerivedProduct.property.value[x],1,1,boolean;integer;CodeableConcept;Period;Quantity;Range;Ratio;string;Attachment
