path,min,max,type
BiologicallyDerivedProductDispense.id,0,1,http://hl7.org/fhirpath/System.String
BiologicallyDerivedProductDispense.meta,0,1,Meta
BiologicallyDerivedProductDispense.implicitRules,0,1,uri
BiologicallyDerivedProductDispense.language,0,1,code
BiologicallyDerivedProductDispense.text,0,1,Narrative
BiologicallyDerivedProductDispense.contained,0,*,Resource
BiologicallyDerivedProductDispense.extension,0,*,Extension
BiologicallyDerivedProductDispense.modifierExtension,0,*,Extension
BiologicallyDerivedProductDispense.identifier,0,*,Identifier
BiologicallyDerivedProductDispense.basedOn,0,*,Reference
BiologicallyDerivedProductDispense.partOf,0,*,Reference
BiologicallyDerivedProductDispense.status,1,1,code
BiologicallyDerivedProductDispense.originRelationshipType,0,1,CodeableConcept
BiologicallyDerivedProductDispense.product,1,1,Reference
BiologicallyDerivedProductDispense.subject,1,1,Reference
BiologicallyDerivedProductDispense.matchStatus,0,1,CodeableConcept
BiologicallyDerivedProductDispense.performer,0,*,BackboneElement
BiologicallyDerivedProductDispense.performer.id,0,1,http://hl7.org/fhirpath/System.String
BiologicallyDerivedProductDispense.performer.extension,0,*,Extension
BiologicallyDerivedProductDispense.performer.modifierExtension,0,*,Extension
BiologicallyDerivedProductDispense.performer.function,0,1,CodeableConcept
BiologicallyDerivedProductDispense.performer.actor,1,1,Reference
BiologicallyDerivedProductDispense.location,0,1,Reference
BiologicallyDerivedProductDispense.quantity,0,1,Quantity
BiologicallyDerivedProductDispense.preparedDate,0,1,dateTime
BiologicallyDerivedProductDispense.whenHandedOver,0,1,dateTime
BiologicallyDerivedProductDispense.destination,0,1,Reference
BiologicallyDerivedProductDispense.note,0,*,Annotation
BiologicallyDerivedProductDispense.usageInstruction,0,1,CodeableConcept
