path,min,max,type
BodyStructure.id,0,1,http://hl7.org/fhirpath/System.String
BodyStructure.meta,0,1,Meta
BodyStructure.implicitRules,0,1,uri
BodyStructure.language,0,1,code
BodyStructure.text,0,1,Narrative
BodyStructure.contained,0,*,Resource
BodyStructure.extension,0,*,Extension
BodyStructure.modifierExtension,0,*,Extension
BodyStructure.identifier,0,*,Identifier
BodyStructure.active,0,1,boolean
BodyStructure.morphology,0,1,CodeableConcept
BodyStructure.includedStructure,1,*,BackboneElement
BodyStructure.includedStructure.id,0,1,http://hl7.org/fhirpath/System.String
BodyStructure.includedStructure.extension,0,*,Extension
BodyStructure.includedStructure.modifierExtension,0,*,Extension
BodyStructure.includedStructure.structure,1,1,CodeableConcept
BodyStructure.includedStructure.laterality,0,1,CodeableConcept
BodyStructure.includedStructure.bodyLandmarkOrientation,0,*,BackboneElement
BodyStructure.includedStructure.bodyLandmarkOrientation.id,0,1,http://hl7.org/fhirpath/System.String
BodyStructure.includedStructure.bodyLandmarkOrientation.extension,0,*,Extension
BodyStructure.includedStructure.bodyLandmarkOrientation.modifierExtension,0,*,Extension
BodyStructure.includedStructure.bodyLandmarkOrientation.landmarkDescription,0,*,CodeableConcept
BodyStructure.includedStructure.bodyLandmarkOrientation.clockFacePosition,0,*,CodeableConcept
BodyStructure.includedStructure.bodyLandmarkOrientation.distanceFromLandmark,0,*,BackboneElement
BodyStructure.includedStructure.bodyLandmarkOrientation.distanceFromLandmark.id,0,1,http://hl7.org/fhirpath/System.String
BodyStructure.includedStructure.bodyLandmarkOrientation.distanceFromLandmark.extension,0,*,Extension
BodyStructure.includedStructure.bodyLandmarkOrientation.distanceFromLandmark.modifierExtension,0,*,Extension
BodyStructure.includedStructure.bodyLandmarkOrientation.distanceFromLandmark.device,0,*,CodeableReference
BodyStructure.includedStructure.bodyLandmarkOrientation.distanceFromLandmark.value,0,*,Quantity
BodyStructure.includedStructure.bodyLandmarkOrientation.surfaceOrientation,0,*,CodeableConcept
BodyStructure.includedStructure.spatialReference,0,*,Reference
BodyStructure.includedStructure.qualifier,0,*,CodeableConcept
BodyStructure.description,0,1,markdown
BodyStructure.image,0,*,Attachment
BodyStructure.patient,1,1,Reference
