path,min,max,type
Bundle.id,0,1,http://hl7.org/fhirpath/System.String
Bundle.meta,0,1,Meta
Bundle.implicitRules,0,1,uri
Bundle.language,0,1,code
Bundle.identifier,0,1,Identifier
Bundle.type,1,1,code
Bundle.timestamp,0,1,instant
Bundle.total,0,1,unsignedInt
Bundle.link,0,*,BackboneElement
Bundle.link.id,0,1,http://hl7.org/fhirpath/System.String
Bundle.link.extension,0,*,Extension
Bundle.link.modifierExtension,0,*,Extension
Bundle.link.relation,1,1,code
Bundle.link.url,1,1,uri
Bundle.entry,0,*,BackboneElement
Bundle.entry.id,0,1,http://hl7.org/fhirpath/System.String
Bundle.entry.extension,0,*,Extension
Bundle.entry.modifierExtension,0,*,Extension
Bundle.entry.fullUrl,0,1,uri
Bundle.entry.resource,0,1,Resource
Bundle.entry.search,0,1,BackboneElement
Bundle.entry.search.id,0,1,http://hl7.org/fhirpath/System.String
Bundle.entry.search.extension,0,*,Extension
Bundle.entry.search.modifierExtension,0,*,Extension
Bundle.entry.search.mode,0,1,code
Bundle.entry.search.score,0,1,decimal
Bundle.entry.request,0,1,BackboneElement
Bundle.entry.request.id,0,1,http://hl7.org/fhirpath/System.String
Bundle.entry.request.extension,0,*,Extension
Bundle.entry.request.modifierExtension,0,*,Extension
Bundle.entry.request.method,1,1,code
Bundle.entry.request.url,1,1,uri
Bundle.entry.request.ifNoneMatch,0,1,string
Bundle.entry.request.ifModifiedSince,0,1,instant
Bundle.entry.request.ifMatch,0,1,string
Bundle.entry.request.ifNoneExist,0,1,string
Bundle.entry.response,0,1,BackboneElement
Bundle.entry.response.id,0,1,http://hl7.org/fhirpath/System.String
Bundle.entry.response.extension,0,*,Extension
Bundle.entry.response.modifierExtension,0,*,Extension
Bundle.entry.response.status,1,1,string
Bundle.entry.response.location,0,1,uri
Bundle.entry.response.etag,0,1,string
Bundle.entry.response.lastModified,0,1,instant
Bundle.entry.response.outcome,0,1,Resource
Bundle.signature,0,1,Signature
Bundle.issues,0,1,Resource
