path,min,max,type
CanonicalResource.id,0,1,http://hl7.org/fhirpath/System.String
CanonicalResource.meta,0,1,Meta
CanonicalResource.implicitRules,0,1,uri
CanonicalResource.language,0,1,code
CanonicalResource.text,0,1,Narrative
CanonicalResource.contained,0,*,Resource
CanonicalResource.extension,0,*,Extension
CanonicalResource.modifierExtension,0,*,Extension
CanonicalResource.url,0,1,uri
CanonicalResource.identifier,0,*,Identifier
CanonicalResource.version,0,1,string
CanonicalResource.versionAlgorithm[x],0,1,string;Coding
CanonicalResource.name,0,1,string
CanonicalResource.title,0,1,string
CanonicalResource.status,1,1,code
CanonicalResource.experimental,0,1,boolean
CanonicalResource.date,0,1,dateTime
CanonicalResource.publisher,0,1,string
CanonicalResource.contact,0,*,ContactDetail
CanonicalResource.description,0,1,markdown
CanonicalResource.useContext,0,*,UsageContext
CanonicalResource.jurisdiction,0,*,CodeableConcept
CanonicalResource.purpose,0,1,markdown
CanonicalResource.copyright,0,1,markdown
CanonicalResource.copyrightLabel,0,1,string
