path,min,max,type
CapabilityStatement.id,0,1,http://hl7.org/fhirpath/System.String
CapabilityStatement.meta,0,1,Meta
CapabilityStatement.implicitRules,0,1,uri
CapabilityStatement.language,0,1,code
CapabilityStatement.text,0,1,Narrative
CapabilityStatement.contained,0,*,Resource
CapabilityStatement.extension,0,*,Extension
CapabilityStatement.modifierExtension,0,*,Extension
CapabilityStatement.url,0,1,uri
CapabilityStatement.version,0,1,string
CapabilityStatement.versionAlgorithm[x],0,1,string;Coding
CapabilityStatement.name,0,1,string
CapabilityStatement.title,0,1,string
CapabilityStatement.status,1,1,code
CapabilityStatement.experimental,0,1,boolean
CapabilityStatement.date,1,1,dateTime
CapabilityStatement.publisher,0,1,string
CapabilityStatement.contact,0,*,ContactDetail
CapabilityStatement.description,0,1,markdown
CapabilityStatement.useContext,0,*,UsageContext
CapabilityStatement.jurisdiction,0,*,CodeableConcept
CapabilityStatement.purpose,0,1,markdown
CapabilityStatement.copyright,0,1,markdown
CapabilityStatement.copyrightLabel,0,1,string
CapabilityStatement.kind,1,1,code
CapabilityStatement.instantiates,0,*,canonical
CapabilityStatement.imports,0,*,canonical
CapabilityStatement.software,0,1,BackboneElement
CapabilityStatement.software.id,0,1,http://hl7.org/fhirpath/System.String
CapabilityStatement.software.extension,0,*,Extension
CapabilityStatement.software.modifierExtension,0,*,Extension
CapabilityStatement.software.name,1,1,string
CapabilityStatement.software.version,0,1,string
CapabilityStatement.software.releaseDate,0,1,dateTime
CapabilityStatement.implementation,0,1,BackboneElement
CapabilityStatement.implementation.id,0,1,http://hl7.org/fhirpath/System.String
CapabilityStatement.implementation.extension,0,*,Extension
CapabilityStatement.implementation.modifierExtension,0,*,Extension
CapabilityStatement.implementation.description,1,1,markdown
CapabilityStatement.implementation.url,0,1,url
CapabilityStatement.implementation.custodian,0,1,Reference
CapabilityStatement.fhirVersion,1,1,code
CapabilityStatement.format,1,*,code
CapabilityStatement.patchFormat,0,*,code
CapabilityStatement.acceptLanguage,0,*,code
CapabilityStatement.implementationGuide,0,*,canonical
CapabilityStatement.rest,0,*,BackboneElement
CapabilityStatement.rest.id,0,1,http://hl7.org/fhirpath/System.String
CapabilityStatement.rest.extension,0,*,Extension
CapabilityStatement.rest.modifierExtension,0,*,Extension
CapabilityStatement.rest.mode,1,1,code
CapabilityStatement.rest.documentation,0,1,markdown
CapabilityStatement.rest.security,0,1,BackboneElement
CapabilityStatement.rest.security.id,0,1,http://hl7.org/fhirpath/System.String
CapabilityStatement.rest.security.extension,0,*,Extension
CapabilityStatement.rest.security.modifierExtension,0,*,Extension
CapabilityStatement.rest.security.cors,0,1,boolean
CapabilityStatement.rest.security.service,0,*,CodeableConcept
CapabilityStatement.rest.security.description,0,1,markdown
CapabilityStatement.rest.resource,0,*,BackboneElement
CapabilityStatement.rest.resource.id,0,1,http://hl7.org/fhirpath/System.String
CapabilityStatement.rest.resource.extension,0,*,Extension
CapabilityStatement.rest.resource.modifierExtension,0,*,Extension
CapabilityStatement.rest.resource.type,1,1,code
CapabilityStatement.rest.resource.profile,0,1,canonical
CapabilityStatement.rest.resource.supportedProfile,0,*,canonical
CapabilityStatement.rest.resource.documentation,0,1,markdown
