path,min,max,type
CarePlan.id,0,1,http://hl7.org/fhirpath/System.String
CarePlan.meta,0,1,Meta
CarePlan.implicitRules,0,1,uri
CarePlan.language,0,1,code
CarePlan.text,0,1,Narrative
CarePlan.contained,0,*,Resource
CarePlan.extension,0,*,Extension
CarePlan.modifierExtension,0,*,Extension
CarePlan.identifier,0,*,Identifier
CarePlan.instantiatesCanonical,0,*,canonical
CarePlan.instantiatesUri,0,*,uri
CarePlan.basedOn,0,*,Reference
CarePlan.replaces,0,*,Reference
CarePlan.partOf,0,*,Reference
CarePlan.status,1,1,code
CarePlan.intent,1,1,code
CarePlan.category,0,*,CodeableConcept
CarePlan.title,0,1,string
CarePlan.description,0,1,string
CarePlan.subject,1,1,Reference
CarePlan.encounter,0,1,Reference
CarePlan.period,0,1,Period
CarePlan.created,0,1,dateTime
CarePlan.custodian,0,1,Reference
CarePlan.contributor,0,*,Reference
CarePlan.careTeam,0,*,Reference
CarePlan.addresses,0,*,CodeableReference
CarePlan.supportingInfo,0,*,Reference
CarePlan.goal,0,*,Reference
CarePlan.activity,0,*,BackboneElement
CarePlan.activity.id,0,1,http://hl7.org/fhirpath/System.String
CarePlan.activity.extension,0,*,Extension
CarePlan.activity.modifierExtension,0,*,Extension
CarePlan.activity.performedActivity,0,*,CodeableReference
CarePlan.activity.progress,0,*,Annotation
CarePlan.activity.plannedActivityReference,0,1,Reference
CarePlan.note,0,*,Annotation
