path,min,max,type
CareTeam.id,0,1,http://hl7.org/fhirpath/System.String
CareTeam.meta,0,1,Meta
CareTeam.implicitRules,0,1,uri
CareTeam.language,0,1,code
CareTeam.text,0,1,Narrative
CareTeam.contained,0,*,Resource
CareTeam.extension,0,*,Extension
CareTeam.modifierExtension,0,*,Extension
CareTeam.identifier,0,*,Identifier
CareTeam.status,0,1,code
CareTeam.category,0,*,CodeableConcept
CareTeam.name,0,1,string
CareTeam.subject,0,1,Reference
CareTeam.period,0,1,Period
CareTeam.participant,0,*,BackboneElement
CareTeam.participant.id,0,1,http://hl7.org/fhirpath/System.String
CareTeam.participant.extension,0,*,Extension
CareTeam.participant.modifierExtension,0,*,Extension
CareTeam.participant.role,0,1,CodeableConcept
CareTeam.participant.member,0,1,Reference
CareTeam.participant.onBehalfOf,0,1,Reference
CareTeam.participant.coverage[x],0,1,Period;Timing
CareTeam.reason,0,*,CodeableReference
CareTeam.managingOrganization,0,*,Reference
CareTeam.telecom,0,*,ContactPoint
CareTeam.note,0,*,Annotation
