path,min,max,type
ChargeItem.id,0,1,http://hl7.org/fhirpath/System.String
ChargeItem.meta,0,1,Meta
ChargeItem.implicitRules,0,1,uri
ChargeItem.language,0,1,code
ChargeItem.text,0,1,Narrative
ChargeItem.contained,0,*,Resource
ChargeItem.extension,0,*,Extension
ChargeItem.modifierExtension,0,*,Extension
ChargeItem.identifier,0,*,Identifier
ChargeItem.definitionUri,0,*,uri
ChargeItem.definitionCanonical,0,*,canonical
ChargeItem.status,1,1,code
ChargeItem.partOf,0,*,Reference
ChargeItem.code,1,1,CodeableConcept
ChargeItem.subject,1,1,Reference
ChargeItem.encounter,0,1,Reference
ChargeItem.occurrence[x],0,1,dateTime;Period;Timing
ChargeItem.performer,0,*,BackboneElement
ChargeItem.performer.id,0,1,http://hl7.org/fhirpath/System.String
ChargeItem.performer.extension,0,*,Extension
ChargeItem.performer.modifierExtension,0,*,Extension
ChargeItem.performer.function,0,1,CodeableConcept
ChargeItem.performer.actor,1,1,Reference
ChargeItem.performingOrganization,0,1,Reference
ChargeItem.requestingOrganization,0,1,Reference
ChargeItem.costCenter,0,1,Reference
ChargeItem.quantity,0,1,Quantity
ChargeItem.bodysite,0,*,CodeableConcept
ChargeItem.unitPriceComponent,0,1,MonetaryComponent
ChargeItem.totalPriceComponent,0,1,MonetaryComponent
ChargeItem.overrideReason,0,1,CodeableConcept
ChargeItem.enterer,0,1,Reference
ChargeItem.enteredDate,0,1,dateTime
ChargeItem.reason,0,*,CodeableConcept
ChargeItem.service,0,*,CodeableReference
ChargeItem.product,0,*,CodeableReference
ChargeItem.account,0,*,Reference
ChargeItem.note,0,*,Annotation
ChargeItem.supportingInformation,0,*,Reference
