path,min,max,type
ChargeItemDefinition.id,0,1,http://hl7.org/fhirpath/System.String
ChargeItemDefinition.meta,0,1,Meta
ChargeItemDefinition.implicitRules,0,1,uri
ChargeItemDefinition.language,0,1,code
ChargeItemDefinition.text,0,1,Narrative
ChargeItemDefinition.contained,0,*,Resource
ChargeItemDefinition.extension,0,*,Extension
ChargeItemDefinition.modifierExtension,0,*,Extension
ChargeItemDefinition.url,0,1,uri
ChargeItemDefinition.identifier,0,*,Identifier
ChargeItemDefinition.version,0,1,string
ChargeItemDefinition.versionAlgorithm[x],0,1,string;Coding
ChargeItemDefinition.name,0,1,string
ChargeItemDefinition.title,0,1,string
ChargeItemDefinition.derivedFromUri,0,*,uri
ChargeItemDefinition.partOf,0,*,canonical
ChargeItemDefinition.replaces,0,*,canonical
ChargeItemDefinition.status,1,1,code
ChargeItemDefinition.experimental,0,1,boolean
ChargeItemDefinition.date,0,1,dateTime
ChargeItemDefinition.publisher,0,1,string
ChargeItemDefinition.contact,0,*,ContactDetail
ChargeItemDefinition.description,0,1,markdown
ChargeItemDefinition.useContext,0,*,UsageContext
ChargeItemDefinition.jurisdiction,0,*,CodeableConcept
ChargeItemDefinition.purpose,0,1,markdown
ChargeItemDefinition.copyright,0,1,markdown
ChargeItemDefinition.copyrightLabel,0,1,string
ChargeItemDefinition.approvalDate,0,1,date
ChargeItemDefinition.lastReviewDate,0,1,date
ChargeItemDefinition.code,0,1,CodeableConcept
ChargeItemDefinition.instance,0,*,Reference
ChargeItemDefinition.applicability,0,*,BackboneElement
ChargeItemDefinition.applicability.id,0,1,http://hl7.org/fhirpath/System.String
ChargeItemDefinition.applicability.extension,0,*,Extension
ChargeItemDefinition.applicability.modifierExtension,0,*,Extension
ChargeItemDefinition.applicability.condition,0,1,Expression
ChargeItemDefinition.applicability.effectivePeriod,0,1,Period
ChargeItemDefinition.applicability.relatedArtifact,0,1,RelatedArtifact
ChargeItemDefinition.propertyGroup,0,*,BackboneElement
ChargeItemDefinition.propertyGroup.id,0,1,http://hl7.org/fhirpath/System.String
ChargeItemDefinition.propertyGroup.extension,0,*,Extension
ChargeItemDefinition.propertyGroup.modifierExtension,0,*,Extension
ChargeItemDefinition.propertyGroup.priceComponent,0,*,MonetaryComponent
