path,min,max,type
Citation.id,0,1,http://hl7.org/fhirpath/System.String
Citation.meta,0,1,Meta
Citation.implicitRules,0,1,uri
Citation.language,0,1,code
Citation.text,0,1,Narrative
Citation.contained,0,*,Resource
Citation.extension,0,*,Extension
Citation.modifierExtension,0,*,Extension
Citation.url,0,1,uri
Citation.identifier,0,*,Identifier
Citation.version,0,1,string
Citation.versionAlgorithm[x],0,1,string;Coding
Citation.name,0,1,string
Citation.title,0,1,string
Citation.status,1,1,code
Citation.experimental,0,1,boolean
Citation.date,0,1,dateTime
Citation.publisher,0,1,string
Citation.contact,0,*,ContactDetail
Citation.description,0,1,markdown
Citation.useContext,0,*,UsageContext
Citation.jurisdiction,0,*,CodeableConcept
Citation.purpose,0,1,markdown
Citation.copyright,0,1,markdown
Citation.copyrightLabel,0,1,string
Citation.approvalDate,0,1,date
Citation.lastReviewDate,0,1,date
Citation.effectivePeriod,0,1,Period
Citation.author,0,*,ContactDetail
Citation.editor,0,*,ContactDetail
Citation.reviewer,0,*,ContactDetail
Citation.endorser,0,*,ContactDetail
Citation.summary,0,*,BackboneElement
Citation.summary.id,0,1,http://hl7.org/fhirpath/System.String
Citation.summary.extension,0,*,Extension
Citation.summary.modifierExtension,0,*,Extension
Citation.summary.style,0,1,CodeableConcept
Citation.summary.text,1,1,markdown
Citation.classification,0,*,BackboneElement
Citation.classification.id,0,1,http://hl7.org/fhirpath/System.String
Citation.classification.extension,0,*,Extension
Citation.classification.modifierExtension,0,*,Extension
Citation.classification.type,0,1,CodeableConcept
Citation.classification.classifier,0,*,CodeableConcept
Citation.note,0,*,Annotation
Citation.currentState,0,*,CodeableConcept
Citation.statusDate,0,*,BackboneElement
Citation.statusDate.id,0,1,http://hl7.org/fhirpath/System.String
Citation.statusDate.extension,0,*,Extension
Citation.statusDate.modifierExtension,0,*,Extension
Citation.statusDate.activity,1,1,CodeableConcept
Citation.statusDate.actual,0,1,boolean
Citation.statusDate.period,1,1,Period
Citation.relatedArtifact,0,*,RelatedArtifact
Citation.citedArtifact,0,1,BackboneElement
Citation.citedArtifact.id,0,1,http://hl7.org/fhirpath/System.String
Citation.citedArtifact.extension,0,*,Extension
Citation.citedArtifact.modifierExtension,0,*,Extension
Citation.citedArtifact.identifier,0,*,Identifier
Citation.citedArtifact.relatedIdentifier,0,*,Identifier
Citation.citedArtifact.dateAccessed,0,1,dateTime
Citation.citedArtifact.version,0,1,BackboneElement
Citation.citedArtifact.version.id,0,1,http://hl7.org/fhirpath/System.String
Citation.citedArtifact.version.extension,0,*,Extension
Citation.citedArtifact.version.modifierExtension,0,*,Extension
Citation.citedArtifact.version.value,1,1,string
Citation.citedArtifact.version.baseCitation,0,1,Reference
Citation.citedArtifact.currentState,0,*,CodeableConcept
Citation.citedArtifact.statusDate,0,*,BackboneElement
Citation.citedArtifact.statusDate.id,0,1,http://hl7.org/fhirpath/System.String
Citation.citedArtifact.statusDate.extension,0,*,Extension
Citation.citedArtifact.statusDate.modifierExtension,0,*,Extension
Citation.citedArtifact.statusDate.activity,1,1,CodeableConcept
Citation.citedArtifact.statusDate.actual,0,1,boolean
Citation.citedArtifact.statusDate.period,1,1,Period
Citation.citedArtifact.title,0,*,BackboneElement
Citation.citedArtifact.title.id,0,1,http://hl7.org/fhirpath/System.String
Citation.citedArtifact.title.extension,0,*,Extension
Citation.citedArtifact.title.modifierExtension,0,*,Extension
Citation.citedArtifact.title.type,0,*,CodeableConcept
Citation.citedArtifact.title.language,0,1,CodeableConcept
Citation.citedArtifact.title.text,1,1,markdown
Citation.citedArtifact.abstract,0,*,BackboneElement
Citation.citedArtifact.abstract.id,0,1,http://hl7.org/fhirpath/System.String
Citation.citedArtifact.abstract.extension,0,*,Extension
Citation.citedArtifact.abstract.modifierExtension,0,*,Extension
Citation.citedArtifact.abstract.type,0,1,CodeableConcept
Citation.citedArtifact.abstract.language,0,1,CodeableConcept
Citation.citedArtifact.abstract.text,1,1,markdown
Citation.citedArtifact.abstract.copyright,0,1,markdown
Citation.citedArtifact.part,0,1,BackboneElement
Citation.citedArtifact.part.id,0,1,http://hl7.org/fhirpath/System.String
Citation.citedArtifact.part.extension,0,*,Extension
Citation.citedArtifact.part.modifierExtension,0,*,Extension
Citation.citedArtifact.part.type,0,1,CodeableConcept
Citation.citedArtifact.part.value,0,1,string
Citation.citedArtifact.part.baseCitation,0,1,Reference
Citation.citedArtifact.relatesTo,0,*,BackboneElement
Citation.citedArtifact.relatesTo.id,0,1,http://hl7.org/fhirpath/System.String
Citation.citedArtifact.relatesTo.extension,0,*,Extension
Citation.citedArtifact.relatesTo.modifierExtension,0,*,Extension
Citation.citedArtifact.relatesTo.type,1,1,code
