path,min,max,type
Claim.id,0,1,http://hl7.org/fhirpath/System.String
Claim.meta,0,1,Meta
Claim.implicitRules,0,1,uri
Claim.language,0,1,code
Claim.text,0,1,Narrative
Claim.contained,0,*,Resource
Claim.extension,0,*,Extension
Claim.modifierExtension,0,*,Extension
Claim.identifier,0,*,Identifier
Claim.traceNumber,0,*,Identifier
Claim.status,1,1,code
Claim.type,1,1,CodeableConcept
Claim.subType,0,1,CodeableConcept
Claim.use,1,1,code
Claim.patient,1,1,Reference
Claim.billablePeriod,0,1,Period
Claim.created,1,1,dateTime
Claim.enterer,0,1,Reference
Claim.insurer,0,1,Reference
Claim.provider,0,1,Reference
Claim.priority,0,1,CodeableConcept
Claim.fundsReserve,0,1,CodeableConcept
Claim.related,0,*,BackboneElement
Claim.related.id,0,1,http://hl7.org/fhirpath/System.String
Claim.related.extension,0,*,Extension
Claim.related.modifierExtension,0,*,Extension
Claim.related.claim,0,1,Reference
Claim.related.relationship,0,1,CodeableConcept
Claim.related.reference,0,1,Identifier
Claim.prescription,0,1,Reference
Claim.originalPrescription,0,1,Reference
Claim.payee,0,1,BackboneElement
Claim.payee.id,0,1,http://hl7.org/fhirpath/System.String
Claim.payee.extension,0,*,Extension
Claim.payee.modifierExtension,0,*,Extension
Claim.payee.type,1,1,CodeableConcept
Claim.payee.party,0,1,Reference
Claim.referral,0,1,Reference
Claim.encounter,0,*,Reference
Claim.facility,0,1,Reference
Claim.diagnosisRelatedGroup,0,1,CodeableConcept
Claim.careTeam,0,*,BackboneElement
Claim.careTeam.id,0,1,http://hl7.org/fhirpath/System.String
Claim.careTeam.extension,0,*,Extension
Claim.careTeam.modifierExtension,0,*,Extension
Claim.careTeam.sequence,1,1,positiveInt
Claim.careTeam.provider,1,1,Reference
Claim.careTeam.responsible,0,1,boolean
Claim.careTeam.role,0,1,CodeableConcept
Claim.careTeam.specialty,0,1,CodeableConcept
Claim.supportingInfo,0,*,BackboneElement
Claim.supportingInfo.id,0,1,http://hl7.org/fhirpath/System.String
Claim.supportingInfo.extension,0,*,Extension
Claim.supportingInfo.modifierExtension,0,*,Extension
Claim.supportingInfo.sequence,1,1,positiveInt
Claim.supportingInfo.category,1,1,CodeableConcept
Claim.supportingInfo.code,0,1,CodeableConcept
Claim.supportingInfo.timing[x],0,1,date;Period
Claim.supportingInfo.value[x],0,1,boolean;string;Quantity;Attachment;Reference;Identifier
Claim.supportingInfo.reason,0,1,CodeableConcept
Claim.diagnosis,0,*,BackboneElement
Claim.diagnosis.id,0,1,http://hl7.org/fhirpath/System.String
Claim.diagnosis.extension,0,*,Extension
Claim.diagnosis.modifierExtension,0,*,Extension
Claim.diagnosis.sequence,1,1,positiveInt
Claim.diagnosis.diagnosis[x],1,1,CodeableConcept;Reference
Claim.diagnosis.type,0,*,CodeableConcept
Claim.diagnosis.onAdmission,0,1,CodeableConcept
Claim.procedure,0,*,BackboneElement
Claim.procedure.id,0,1,http://hl7.org/fhirpath/System.String
Claim.procedure.extension,0,*,Extension
Claim.procedure.modifierExtension,0,*,Extension
Claim.procedure.sequence,1,1,positiveInt
