path,min,max,type
ClaimResponse.id,0,1,http://hl7.org/fhirpath/System.String
ClaimResponse.meta,0,1,Meta
ClaimResponse.implicitRules,0,1,uri
ClaimResponse.language,0,1,code
ClaimResponse.text,0,1,Narrative
ClaimResponse.contained,0,*,Resource
ClaimResponse.extension,0,*,Extension
ClaimResponse.modifierExtension,0,*,Extension
ClaimResponse.identifier,0,*,Identifier
ClaimResponse.traceNumber,0,*,Identifier
ClaimResponse.status,1,1,code
ClaimResponse.type,1,1,CodeableConcept
ClaimResponse.subType,0,1,CodeableConcept
ClaimResponse.use,1,1,code
ClaimResponse.patient,1,1,Reference
ClaimResponse.created,1,1,dateTime
ClaimResponse.insurer,0,1,Reference
ClaimResponse.requestor,0,1,Reference
ClaimResponse.request,0,1,Reference
ClaimResponse.outcome,1,1,code
ClaimResponse.decision,0,1,CodeableConcept
ClaimResponse.disposition,0,1,string
ClaimResponse.preAuthRef,0,1,string
ClaimResponse.preAuthPeriod,0,1,Period
ClaimResponse.payeeType,0,1,CodeableConcept
ClaimResponse.encounter,0,*,Reference
ClaimResponse.diagnosisRelatedGroup,0,1,CodeableConcept
ClaimResponse.item,0,*,BackboneElement
ClaimResponse.item.id,0,1,http://hl7.org/fhirpath/System.String
ClaimResponse.item.extension,0,*,Extension
ClaimResponse.item.modifierExtension,0,*,Extension
ClaimResponse.item.itemSequence,1,1,positiveInt
ClaimResponse.item.traceNumber,0,*,Identifier
ClaimResponse.item.noteNumber,0,*,positiveInt
ClaimResponse.item.reviewOutcome,0,1,BackboneElement
ClaimResponse.item.reviewOutcome.id,0,1,http://hl7.org/fhirpath/System.String
ClaimResponse.item.reviewOutcome.extension,0,*,Extension
ClaimResponse.item.reviewOutcome.modifierExtension,0,*,Extension
ClaimResponse.item.reviewOutcome.decision,0,1,CodeableConcept
ClaimResponse.item.reviewOutcome.reason,0,*,CodeableConcept
ClaimResponse.item.reviewOutcome.preAuthRef,0,1,string
ClaimResponse.item.reviewOutcome.preAuthPeriod,0,1,Period
ClaimResponse.item.adjudication,0,*,BackboneElement
ClaimResponse.item.adjudication.id,0,1,http://hl7.org/fhirpath/System.String
ClaimResponse.item.adjudication.extension,0,*,Extension
ClaimResponse.item.adjudication.modifierExtension,0,*,Extension
ClaimResponse.item.adjudication.category,1,1,CodeableConcept
ClaimResponse.item.adjudication.reason,0,1,CodeableConcept
ClaimResponse.item.adjudication.amount,0,1,Money
ClaimResponse.item.adjudication.value,0,1,decimal
ClaimResponse.item.detail,0,*,BackboneElement
ClaimResponse.item.detail.id,0,1,http://hl7.org/fhirpath/System.String
ClaimResponse.item.detail.extension,0,*,Extension
ClaimResponse.item.detail.modifierExtension,0,*,Extension
ClaimResponse.item.detail.detailSequence,1,1,positiveInt
ClaimResponse.item.detail.traceNumber,0,*,Identifier
ClaimResponse.item.detail.noteNumber,0,*,positiveInt
ClaimResponse.item.detail.subDetail,0,*,BackboneElement
ClaimResponse.item.detail.subDetail.id,0,1,http://hl7.org/fhirpath/System.String
ClaimResponse.item.detail.subDetail.extension,0,*,Extension
ClaimResponse.item.detail.subDetail.modifierExtension,0,*,Extension
ClaimResponse.item.detail.subDetail.subDetailSequence,1,1,positiveInt
ClaimResponse.item.detail.subDetail.traceNumber,0,*,Identifier
ClaimResponse.item.detail.subDetail.noteNumber,0,*,positiveInt
ClaimResponse.addItem,0,*,BackboneElement
ClaimResponse.addItem.id,0,1,http://hl7.org/fhirpath/System.String
ClaimResponse.addItem.extension,0,*,Extension
ClaimResponse.addItem.modifierExtension,0,*,Extension
ClaimResponse.addItem.itemSequence,0,*,positiveInt
ClaimResponse.addItem.detailSequence,0,*,positiveInt
ClaimResponse.addItem.subdetailSequence,0,*,positiveInt
ClaimResponse.addItem.traceNumber,0,*,Identifier
ClaimResponse.addItem.provider,0,*,Reference
ClaimResponse.addItem.revenue,0,1,CodeableConcept
ClaimResponse.addItem.productOrService,0,1,CodeableConcept
ClaimResponse.addItem.productOrServiceEnd,0,1,CodeableConcept
ClaimResponse.addItem.modifier,0,*,CodeableConcept
ClaimResponse.addItem.programCode,0,*,CodeableConcept
ClaimResponse.addItem.serviced[x],0,1,date;Period
ClaimResponse.addItem.location[x],0,1,CodeableConcept;Address;Reference
ClaimResponse.addItem.quantity,0,1,Quantity
ClaimResponse.addItem.unitPrice,0,1,Money
ClaimResponse.addItem.factor,0,1,decimal
ClaimResponse.addItem.tax,0,1,Money
ClaimResponse.addItem.net,0,1,Money
ClaimResponse.addItem.bodySite,0,*,BackboneElement
ClaimResponse.addItem.bodySite.id,0,1,http://hl7.org/fhirpath/System.String
ClaimResponse.addItem.bodySite.extension,0,*,Extension
ClaimResponse.addItem.bodySite.modifierExtension,0,*,Extension
ClaimResponse.addItem.bodySite.site,1,*,CodeableReference
ClaimResponse.addItem.bodySite.subSite,0,*,CodeableConcept
ClaimResponse.addItem.noteNumber,0,*,positiveInt
ClaimResponse.addItem.detail,0,*,BackboneElement
ClaimResponse.addItem.detail.id,0,1,http://hl7.org/fhirpath/System.String
ClaimResponse.addItem.detail.extension,0,*,Extension
ClaimResponse.addItem.detail.modifierExtension,0,*,Extension
ClaimResponse.addItem.detail.traceNumber,0,*,Identifier
ClaimResponse.addItem.detail.revenue,0,1,CodeableConcept
ClaimResponse.addItem.detail.productOrService,0,1,CodeableConcept
ClaimResponse.addItem.detail.productOrServiceEnd,0,1,CodeableConcept
ClaimResponse.addItem.detail.modifier,0,*,CodeableConcept
ClaimResponse.addItem.detail.quantity,0,1,Quantity
ClaimResponse.addItem.detail.unitPrice,0,1,Money
ClaimResponse.addItem.detail.factor,0,1,decimal
ClaimResponse.addItem.detail.tax,0,1,Money
ClaimResponse.addItem.detail.net,0,1,Money
ClaimResponse.addItem.detail.noteNumber,0,*,positiveInt
ClaimResponse.addItem.detail.subDetail,0,*,BackboneElement
ClaimResponse.addItem.detail.subDetail.id,0,1,http://hl7.org/fhirpath/System.String
ClaimResponse.addItem.detail.subDetail.extension,0,*,Extension
ClaimResponse.addItem.detail.subDetail.modifierExtension,0,*,Extension
ClaimResponse.addItem.detail.subDetail.traceNumber,0,*,Identifier
ClaimResponse.addItem.detail.subDetail.revenue,0,1,CodeableConcept
ClaimResponse.addItem.detail.subDetail.productOrService,0,1,CodeableConcept
ClaimResponse.addItem.detail.subDetail.productOrServiceEnd,0,1,CodeableConcept
ClaimResponse.addItem.detail.subDetail.modifier,0,*,CodeableConcept
ClaimResponse.addItem.detail.subDetail.quantity,0,1,Quantity
ClaimResponse.addItem.detail.subDetail.unitPrice,0,1,Money
ClaimResponse.addItem.detail.subDetail.factor,0,1,decimal
ClaimResponse.addItem.detail.subDetail.tax,0,1,Money
ClaimResponse.addItem.detail.subDetail.net,0,1,Money
ClaimResponse.addItem.detail.subDetail.noteNumber,0,*,positiveInt
ClaimResponse.total,0,*,BackboneElement
ClaimResponse.total.id,0,1,http://hl7.org/fhirpath/System.String
ClaimResponse.total.extension,0,*,Extension
ClaimResponse.total.modifierExtension,0,*,Extension
ClaimResponse.total.category,1,1,CodeableConcept
ClaimResponse.total.amount,1,1,Money
ClaimResponse.payment,0,1,BackboneElement
ClaimResponse.payment.id,0,1,http://hl7.org/fhirpath/System.String
ClaimResponse.payment.extension,0,*,Extension
ClaimResponse.payment.modifierExtension,0,*,Extension
ClaimResponse.payment.type,1,1,CodeableConcept
ClaimResponse.payment.adjustment,0,1,Money
ClaimResponse.payment.adjustmentReason,0,1,CodeableConcept
ClaimResponse.payment.date,0,1,date
ClaimResponse.payment.amount,1,1,Money
ClaimResponse.payment.identifier,0,1,Identifier
ClaimResponse.fundsReserve,0,1,CodeableConcept
ClaimResponse.formCode,0,1,CodeableConcept
ClaimResponse.form,0,1,Attachment
ClaimResponse.processNote,0,*,BackboneElement
ClaimResponse.processNote.id,0,1,http://hl7.org/fhirpath/System.String
ClaimResponse.processNote.extension,0,*,Extension
ClaimResponse.processNote.modifierExtension,0,*,Extension
ClaimResponse.processNote.number,0,1,positiveInt
ClaimResponse.processNote.type,0,1,code
ClaimResponse.processNote.text,1,1,string
ClaimResponse.processNote.language,0,1,CodeableConcept
ClaimResponse.communicationRequest,0,*,Reference
ClaimResponse.insurance,0,*,BackboneElement
ClaimResponse.insurance.id,0,1,http://hl7.org/fhirpath/System.String
ClaimResponse.insurance.extension,0,*,Extension
ClaimResponse.insurance.modifierExtension,0,*,Extension
ClaimResponse.insurance.sequence,1,1,positiveInt
ClaimResponse.insurance.focal,1,1,boolean
ClaimResponse.insurance.coverage,1,1,Reference
ClaimResponse.insurance.businessArrangement,0,1,string
ClaimResponse.insurance.claimResponse,0,1,Reference
ClaimResponse.error,0,*,BackboneElement
ClaimResponse.error.id,0,1,http://hl7.org/fhirpath/System.String
ClaimResponse.error.extension,0,*,Extension
ClaimResponse.error.modifierExtension,0,*,Extension
ClaimResponse.error.itemSequence,0,1,positiveInt
ClaimResponse.error.detailSequence,0,1,positiveInt
ClaimResponse.error.subDetailSequence,0,1,positiveInt
ClaimResponse.error.code,1,1,CodeableConcept
