path,min,max,type
ClinicalImpression.id,0,1,http://hl7.org/fhirpath/System.String
ClinicalImpression.meta,0,1,Meta
ClinicalImpression.implicitRules,0,1,uri
ClinicalImpression.language,0,1,code
ClinicalImpression.text,0,1,Narrative
ClinicalImpression.contained,0,*,Resource
ClinicalImpression.extension,0,*,Extension
ClinicalImpression.modifierExtension,0,*,Extension
ClinicalImpression.identifier,0,*,Identifier
ClinicalImpression.status,1,1,code
ClinicalImpression.statusReason,0,1,CodeableConcept
ClinicalImpression.description,0,1,string
ClinicalImpression.subject,1,1,Reference
ClinicalImpression.encounter,0,1,Reference
ClinicalImpression.effective[x],0,1,dateTime;Period
ClinicalImpression.date,0,1,dateTime
ClinicalImpression.performer,0,1,Reference
ClinicalImpression.previous,0,1,Reference
ClinicalImpression.problem,0,*,Reference
ClinicalImpression.changePattern,0,1,CodeableConcept
ClinicalImpression.protocol,0,*,uri
ClinicalImpression.summary,0,1,string
ClinicalImpression.finding,0,*,BackboneElement
ClinicalImpression.finding.id,0,1,http://hl7.org/fhirpath/System.String
ClinicalImpression.finding.extension,0,*,Extension
ClinicalImpression.finding.modifierExtension,0,*,Extension
ClinicalImpression.finding.item,0,1,CodeableReference
ClinicalImpression.finding.basis,0,1,string
ClinicalImpression.prognosisCodeableConcept,0,*,CodeableConcept
ClinicalImpression.prognosisReference,0,*,Reference
ClinicalImpression.supportingInfo,0,*,Reference
ClinicalImpression.note,0,*,Annotation
