path,min,max,type
ClinicalUseDefinition.id,0,1,http://hl7.org/fhirpath/System.String
ClinicalUseDefinition.meta,0,1,Meta
ClinicalUseDefinition.implicitRules,0,1,uri
ClinicalUseDefinition.language,0,1,code
ClinicalUseDefinition.text,0,1,Narrative
ClinicalUseDefinition.contained,0,*,Resource
ClinicalUseDefinition.extension,0,*,Extension
ClinicalUseDefinition.modifierExtension,0,*,Extension
ClinicalUseDefinition.identifier,0,*,Identifier
ClinicalUseDefinition.type,1,1,code
ClinicalUseDefinition.category,0,*,CodeableConcept
ClinicalUseDefinition.subject,0,*,Reference
ClinicalUseDefinition.status,0,1,CodeableConcept
ClinicalUseDefinition.contraindication,0,1,BackboneElement
ClinicalUseDefinition.contraindication.id,0,1,http://hl7.org/fhirpath/System.String
ClinicalUseDefinition.contraindication.extension,0,*,Extension
ClinicalUseDefinition.contraindication.modifierExtension,0,*,Extension
ClinicalUseDefinition.contraindication.diseaseSymptomProcedure,0,1,CodeableReference
ClinicalUseDefinition.contraindication.diseaseStatus,0,1,CodeableReference
ClinicalUseDefinition.contraindication.comorbidity,0,*,CodeableReference
ClinicalUseDefinition.contraindication.indication,0,*,Reference
ClinicalUseDefinition.contraindication.applicability,0,1,Expression
ClinicalUseDefinition.contraindication.otherTherapy,0,*,BackboneElement
ClinicalUseDefinition.contraindication.otherTherapy.id,0,1,http://hl7.org/fhirpath/System.String
ClinicalUseDefinition.contraindication.otherTherapy.extension,0,*,Extension
ClinicalUseDefinition.contraindication.otherTherapy.modifierExtension,0,*,Extension
ClinicalUseDefinition.contraindication.otherTherapy.relationshipType,1,1,CodeableConcept
ClinicalUseDefinition.contraindication.otherTherapy.treatment,1,1,CodeableReference
ClinicalUseDefinition.indication,0,1,BackboneElement
ClinicalUseDefinition.indication.id,0,1,http://hl7.org/fhirpath/System.String
ClinicalUseDefinition.indication.extension,0,*,Extension
ClinicalUseDefinition.indication.modifierExtension,0,*,Extension
ClinicalUseDefinition.indication.diseaseSymptomProcedure,0,1,CodeableReference
ClinicalUseDefinition.indication.diseaseStatus,0,1,CodeableReference
ClinicalUseDefinition.indication.comorbidity,0,*,CodeableReference
ClinicalUseDefinition.indication.intendedEffect,0,1,CodeableReference
ClinicalUseDefinition.indication.duration[x],0,1,Range;string
ClinicalUseDefinition.indication.undesirableEffect,0,*,Reference
ClinicalUseDefinition.indication.applicability,0,1,Expression
ClinicalUseDefinition.interaction,0,1,BackboneElement
ClinicalUseDefinition.interaction.id,0,1,http://hl7.org/fhirpath/System.String
ClinicalUseDefinition.interaction.extension,0,*,Extension
ClinicalUseDefinition.interaction.modifierExtension,0,*,Extension
ClinicalUseDefinition.interaction.interactant,0,*,BackboneElement
ClinicalUseDefinition.interaction.interactant.id,0,1,http://hl7.org/fhirpath/System.String
ClinicalUseDefinition.interaction.interactant.extension,0,*,Extension
ClinicalUseDefinition.interaction.interactant.modifierExtension,0,*,Extension
ClinicalUseDefinition.interaction.interactant.item[x],1,1,Reference;CodeableConcept
ClinicalUseDefinition.interaction.type,0,1,CodeableConcept
ClinicalUseDefinition.interaction.effect,0,1,CodeableReference
ClinicalUseDefinition.interaction.incidence,0,1,CodeableConcept
ClinicalUseDefinition.interaction.management,0,*,CodeableConcept
ClinicalUseDefinition.population,0,*,Reference
ClinicalUseDefinition.library,0,*,canonical
ClinicalUseDefinition.undesirableEffect,0,1,BackboneElement
ClinicalUseDefinition.undesirableEffect.id,0,1,http://hl7.org/fhirpath/System.String
ClinicalUseDefinition.undesirableEffect.extension,0,*,Extension
ClinicalUseDefinition.undesirableEffect.modifierExtension,0,*,Extension
ClinicalUseDefinition.undesirableEffect.symptomConditionEffect,0,1,CodeableReference
ClinicalUseDefinition.undesirableEffect.classification,0,1,CodeableConcept
ClinicalUseDefinition.undesirableEffect.frequencyOfOccurrence,0,1,CodeableConcept
ClinicalUseDefinition.warning,0,1,BackboneElement
ClinicalUseDefinition.warning.id,0,1,http://hl7.org/fhirpath/System.String
ClinicalUseDefinition.warning.extension,0,*,Extension
ClinicalUseDefinition.warning.modifierExtension,0,*,Extension
ClinicalUseDefinition.warning.description,0,1,markdown
ClinicalUseDefinition.warning.code,0,1,CodeableConcept
