path,min,max,type
CodeSystem.id,0,1,http://hl7.org/fhirpath/System.String
CodeSystem.meta,0,1,Meta
CodeSystem.implicitRules,0,1,uri
CodeSystem.language,0,1,code
CodeSystem.text,0,1,Narrative
CodeSystem.contained,0,*,Resource
CodeSystem.extension,0,*,Extension
CodeSystem.modifierExtension,0,*,Extension
CodeSystem.url,0,1,uri
CodeSystem.identifier,0,*,Identifier
CodeSystem.version,0,1,string
CodeSystem.versionAlgorithm[x],0,1,string;Coding
CodeSystem.name,0,1,string
CodeSystem.title,0,1,string
CodeSystem.status,1,1,code
CodeSystem.experimental,0,1,boolean
CodeSystem.date,0,1,dateTime
CodeSystem.publisher,0,1,string
CodeSystem.contact,0,*,ContactDetail
CodeSystem.description,0,1,markdown
CodeSystem.useContext,0,*,UsageContext
CodeSystem.jurisdiction,0,*,CodeableConcept
CodeSystem.purpose,0,1,markdown
CodeSystem.copyright,0,1,markdown
CodeSystem.copyrightLabel,0,1,string
CodeSystem.approvalDate,0,1,date
CodeSystem.lastReviewDate,0,1,date
CodeSystem.effectivePeriod,0,1,Period
CodeSystem.topic,0,*,CodeableConcept
CodeSystem.author,0,*,ContactDetail
CodeSystem.editor,0,*,ContactDetail
CodeSystem.reviewer,0,*,ContactDetail
CodeSystem.endorser,0,*,ContactDetail
CodeSystem.relatedArtifact,0,*,RelatedArtifact
CodeSystem.caseSensitive,0,1,boolean
CodeSystem.valueSet,0,1,canonical
CodeSystem.hierarchyMeaning,0,1,code
CodeSystem.compositional,0,1,boolean
CodeSystem.versionNeeded,0,1,boolean
CodeSystem.content,1,1,code
CodeSystem.supplements,0,1,canonical
CodeSystem.count,0,1,unsignedInt
CodeSystem.filter,0,*,BackboneElement
CodeSystem.filter.id,0,1,http://hl7.org/fhirpath/System.String
CodeSystem.filter.extension,0,*,Extension
CodeSystem.filter.modifierExtension,0,*,Extension
CodeSystem.filter.code,1,1,code
CodeSystem.filter.description,0,1,string
CodeSystem.filter.operator,1,*,code
CodeSystem.filter.value,1,1,string
CodeSystem.property,0,*,BackboneElement
CodeSystem.property.id,0,1,http://hl7.org/fhirpath/System.String
CodeSystem.property.extension,0,*,Extension
CodeSystem.property.modifierExtension,0,*,Extension
CodeSystem.property.code,1,1,code
CodeSystem.property.uri,0,1,uri
CodeSystem.property.description,0,1,string
CodeSystem.property.type,1,1,code
CodeSystem.concept,0,*,BackboneElement
CodeSystem.concept.id,0,1,http://hl7.org/fhirpath/System.String
CodeSystem.concept.extension,0,*,Extension
CodeSystem.concept.modifierExtension,0,*,Extension
CodeSystem.concept.code,1,1,code
CodeSystem.concept.display,0,1,string
CodeSystem.concept.definition,0,1,string
CodeSystem.concept.designation,0,*,BackboneElement
CodeSystem.concept.designation.id,0,1,http://hl7.org/fhirpath/System.String
CodeSystem.concept.designation.extension,0,*,Extension
CodeSystem.concept.designation.modifierExtension,0,*,Extension
CodeSystem.concept.designation.language,0,1,code
CodeSystem.concept.designation.use,0,1,Coding
CodeSystem.concept.designation.additionalUse,0,*,Coding
CodeSystem.concept.designation.value,1,1,string
CodeSystem.concept.property,0,*,BackboneElement
CodeSystem.concept.property.id,0,1,http://hl7.org/fhirpath/System.String
CodeSystem.concept.property.extension,0,*,Extension
CodeSystem.concept.property.modifierExtension,0,*,Extension
CodeSystem.concept.property.code,1,1,code
CodeSystem.concept.property.value[x],1,1,code;Coding;string;integer;boolean;dateTime;decimal
