path,min,max,type
Communication.id,0,1,http://hl7.org/fhirpath/System.String
Communication.meta,0,1,Meta
Communication.implicitRules,0,1,uri
Communication.language,0,1,code
Communication.text,0,1,Narrative
Communication.contained,0,*,Resource
Communication.extension,0,*,Extension
Communication.modifierExtension,0,*,Extension
Communication.identifier,0,*,Identifier
Communication.instantiatesCanonical,0,*,canonical
Communication.instantiatesUri,0,*,uri
Communication.basedOn,0,*,Reference
Communication.partOf,0,*,Reference
Communication.inResponseTo,0,*,Reference
Communication.status,1,1,code
Communication.statusReason,0,1,CodeableConcept
Communication.category,0,*,CodeableConcept
Communication.priority,0,1,code
Communication.medium,0,*,CodeableConcept
Communication.subject,0,1,Reference
Communication.topic,0,1,CodeableConcept
Communication.about,0,*,Reference
Communication.encounter,0,1,Reference
Communication.sent,0,1,dateTime
Communication.received,0,1,dateTime
Communication.recipient,0,*,Reference
Communication.sender,0,1,Reference
Communication.reason,0,*,CodeableReference
Communication.payload,0,*,BackboneElement
Communication.payload.id,0,1,http://hl7.org/fhirpath/System.String
Communication.payload.extension,0,*,Extension
Communication.payload.modifierExtension,0,*,Extension
Communication.payload.content[x],1,1,Attachment;Reference;CodeableConcept
Communication.note,0,*,Annotation
