path,min,max,type
CompartmentDefinition.id,0,1,http://hl7.org/fhirpath/System.String
CompartmentDefinition.meta,0,1,Meta
CompartmentDefinition.implicitRules,0,1,uri
CompartmentDefinition.language,0,1,code
CompartmentDefinition.text,0,1,Narrative
CompartmentDefinition.contained,0,*,Resource
CompartmentDefinition.extension,0,*,Extension
CompartmentDefinition.modifierExtension,0,*,Extension
CompartmentDefinition.url,1,1,uri
CompartmentDefinition.version,0,1,string
CompartmentDefinition.versionAlgorithm[x],0,1,string;Coding
CompartmentDefinition.name,1,1,string
CompartmentDefinition.title,0,1,string
CompartmentDefinition.status,1,1,code
CompartmentDefinition.experimental,0,1,boolean
CompartmentDefinition.date,0,1,dateTime
CompartmentDefinition.publisher,0,1,string
CompartmentDefinition.contact,0,*,ContactDetail
CompartmentDefinition.description,0,1,markdown
CompartmentDefinition.useContext,0,*,UsageContext
CompartmentDefinition.purpose,0,1,markdown
CompartmentDefinition.code,1,1,code
CompartmentDefinition.search,1,1,boolean
CompartmentDefinition.resource,0,*,BackboneElement
CompartmentDefinition.resource.id,0,1,http://hl7.org/fhirpath/System.String
CompartmentDefinition.resource.extension,0,*,Extension
CompartmentDefinition.resource.modifierExtension,0,*,Extension
CompartmentDefinition.resource.code,1,1,code
CompartmentDefinition.resource.param,0,*,string
CompartmentDefinition.resource.documentation,0,1,string
CompartmentDefinition.resource.startParam,0,1,uri
CompartmentDefinition.resource.endParam,0,1,uri
