path,min,max,type
Composition.id,0,1,http://hl7.org/fhirpath/System.String
Composition.meta,0,1,Meta
Composition.implicitRules,0,1,uri
Composition.language,0,1,code
Composition.text,0,1,Narrative
Composition.contained,0,*,Resource
Composition.extension,0,*,Extension
Composition.modifierExtension,0,*,Extension
Composition.url,0,1,uri
Composition.identifier,0,*,Identifier
Composition.version,0,1,string
Composition.status,1,1,code
Composition.type,1,1,CodeableConcept
Composition.category,0,*,CodeableConcept
Composition.subject,0,*,Reference
Composition.encounter,0,1,Reference
Composition.date,1,1,dateTime
Composition.useContext,0,*,UsageContext
Composition.author,1,*,Reference
Composition.name,0,1,string
Composition.title,1,1,string
Composition.note,0,*,Annotation
Composition.attester,0,*,BackboneElement
Composition.attester.id,0,1,http://hl7.org/fhirpath/System.String
Composition.attester.extension,0,*,Extension
Composition.attester.modifierExtension,0,*,Extension
Composition.attester.mode,1,1,CodeableConcept
Composition.attester.time,0,1,dateTime
Composition.attester.party,0,1,Reference
Composition.custodian,0,1,Reference
Composition.relatesTo,0,*,RelatedArtifact
Composition.event,0,*,BackboneElement
Composition.event.id,0,1,http://hl7.org/fhirpath/System.String
Composition.event.extension,0,*,Extension
Composition.event.modifierExtension,0,*,Extension
Composition.event.code,0,*,CodeableConcept
Composition.event.period,0,1,Period
Composition.event.detail,0,*,Reference
Composition.section,0,*,BackboneElement
Composition.section.id,0,1,http://hl7.org/fhirpath/System.String
Composition.section.extension,0,*,Extension
Composition.section.modifierExtension,0,*,Extension
Composition.section.title,0,1,string
Composition.section.code,0,1,CodeableConcept
Composition.section.author,0,*,Reference
Composition.section.focus,0,1,Reference
Composition.section.text,0,1,Narrative
Composition.section.mode,0,1,code
Composition.section.orderedBy,0,1,CodeableConcept
Composition.section.entry,0,*,Reference
Composition.section.emptyReason,0,1,CodeableConcept
