path,min,max,type
ConceptMap.id,0,1,http://hl7.org/fhirpath/System.String
ConceptMap.meta,0,1,Meta
ConceptMap.implicitRules,0,1,uri
ConceptMap.language,0,1,code
ConceptMap.text,0,1,Narrative
ConceptMap.contained,0,*,Resource
ConceptMap.extension,0,*,Extension
ConceptMap.modifierExtension,0,*,Extension
ConceptMap.url,0,1,uri
ConceptMap.identifier,0,*,Identifier
ConceptMap.version,0,1,string
ConceptMap.versionAlgorithm[x],0,1,string;Coding
ConceptMap.name,0,1,string
ConceptMap.title,0,1,string
ConceptMap.status,1,1,code
ConceptMap.experimental,0,1,boolean
ConceptMap.date,0,1,dateTime
ConceptMap.publisher,0,1,string
ConceptMap.contact,0,*,ContactDetail
ConceptMap.description,0,1,markdown
ConceptMap.useContext,0,*,UsageContext
ConceptMap.jurisdiction,0,*,CodeableConcept
ConceptMap.purpose,0,1,markdown
ConceptMap.copyright,0,1,markdown
ConceptMap.copyrightLabel,0,1,string
ConceptMap.approvalDate,0,1,date
ConceptMap.lastReviewDate,0,1,date
ConceptMap.effectivePeriod,0,1,Period
ConceptMap.topic,0,*,CodeableConcept
ConceptMap.author,0,*,ContactDetail
ConceptMap.editor,0,*,ContactDetail
ConceptMap.reviewer,0,*,ContactDetail
ConceptMap.endorser,0,*,ContactDetail
ConceptMap.relatedArtifact,0,*,RelatedArtifact
ConceptMap.sourceScope[x],0,1,uri;canonical
ConceptMap.targetScope[x],0,1,uri;canonical
ConceptMap.group,0,*,BackboneElement
ConceptMap.group.id,0,1,http://hl7.org/fhirpath/System.String
ConceptMap.group.extension,0,*,Extension
ConceptMap.group.modifierExtension,0,*,Extension
ConceptMap.group.source,0,1,canonical
ConceptMap.group.target,0,1,canonical
ConceptMap.group.element,1,*,BackboneElement
ConceptMap.group.element.id,0,1,http://hl7.org/fhirpath/System.String
ConceptMap.group.element.extension,0,*,Extension
ConceptMap.group.element.modifierExtension,0,*,Extension
ConceptMap.group.element.code,0,1,code
ConceptMap.group.element.display,0,1,string
ConceptMap.group.element.valueSet,0,1,canonical
ConceptMap.group.element.noMap,0,1,boolean
ConceptMap.group.element.target,0,*,BackboneElement
ConceptMap.group.element.target.id,0,1,http://hl7.org/fhirpath/System.String
ConceptMap.group.element.target.extension,0,*,Extension
ConceptMap.group.element.target.modifierExtension,0,*,Extension
ConceptMap.group.element.target.code,0,1,code
ConceptMap.group.element.target.display,0,1,string
ConceptMap.group.element.target.valueSet,0,1,canonical
ConceptMap.group.element.target.relationship,1,1,code
ConceptMap.group.element.target.comment,0,1,string
ConceptMap.group.element.target.dependsOn,0,*,BackboneElement
ConceptMap.group.element.target.dependsOn.id,0,1,http://hl7.org/fhirpath/System.String
ConceptMap.group.element.target.dependsOn.extension,0,*,Extension
ConceptMap.group.element.target.dependsOn.modifierExtension,0,*,Extension
ConceptMap.group.element.target.dependsOn.property,1,1,uri
ConceptMap.group.element.target.dependsOn.value[x],0,1,code;Coding;string;integer;boolean;dateTime;decimal;uri;id
ConceptMap.group.element.target.dependsOn.valueSet,0,1,canonical
ConceptMap.group.unmapped,0,1,BackboneElement
ConceptMap.group.unmapped.id,0,1,http://hl7.org/fhirpath/System.String
ConceptMap.group.unmapped.extension,0,*,Extension
ConceptMap.group.unmapped.modifierExtension,0,*,Extension
ConceptMap.group.unmapped.mode,1,1,code
ConceptMap.group.unmapped.code,0,1,code
ConceptMap.group.unmapped.display,0,1,string
ConceptMap.group.unmapped.valueSet,0,1,canonical
ConceptMap.group.unmapped.relationship,0,1,code
ConceptMap.group.unmapped.otherMap,0,1,canonical
