path,min,max,type
Condition.id,0,1,http://hl7.org/fhirpath/System.String
Condition.meta,0,1,Meta
Condition.implicitRules,0,1,uri
Condition.language,0,1,code
Condition.text,0,1,Narrative
Condition.contained,0,*,Resource
Condition.extension,0,*,Extension
Condition.modifierExtension,0,*,Extension
Condition.identifier,0,*,Identifier
Condition.clinicalStatus,1,1,CodeableConcept
Condition.verificationStatus,0,1,CodeableConcept
Condition.category,0,*,CodeableConcept
Condition.severity,0,1,CodeableConcept
Condition.code,0,1,CodeableConcept
Condition.bodySite,0,*,CodeableConcept
Condition.subject,1,1,Reference
Condition.encounter,0,1,Reference
Condition.onset[x],0,1,dateTime;Age;Period;Range;string
Condition.abatement[x],0,1,dateTime;Age;Period;Range;string
Condition.recordedDate,0,1,dateTime
Condition.participant,0,*,BackboneElement
Condition.participant.id,0,1,http://hl7.org/fhirpath/System.String
Condition.participant.extension,0,*,Extension
Condition.participant.modifierExtension,0,*,Extension
Condition.participant.function,0,1,CodeableConcept
Condition.participant.actor,1,1,Reference
Condition.stage,0,*,BackboneElement
Condition.stage.id,0,1,http://hl7.org/fhirpath/System.String
Condition.stage.extension,0,*,Extension
Condition.stage.modifierExtension,0,*,Extension
Condition.stage.summary,0,1,CodeableConcept
Condition.stage.assessment,0,*,Reference
Condition.stage.type,0,1,CodeableConcept
Condition.evidence,0,*,CodeableReference
Condition.note,0,*,Annotation
