path,min,max,type
DataRequirement.id,0,1,http://hl7.org/fhirpath/System.String
DataRequirement.extension,0,*,Extension
DataRequirement.type,1,1,code
DataRequirement.profile,0,*,canonical
DataRequirement.subject[x],0,1,CodeableConcept;Reference
DataRequirement.mustSupport,0,*,string
DataRequirement.codeFilter,0,*,Element
DataRequirement.codeFilter.id,0,1,http://hl7.org/fhirpath/System.String
DataRequirement.codeFilter.extension,0,*,Extension
DataRequirement.codeFilter.path,0,1,string
DataRequirement.codeFilter.searchParam,0,1,string
DataRequirement.codeFilter.valueSet,0,1,canonical
DataRequirement.codeFilter.code,0,*,Coding
DataRequirement.dateFilter,0,*,Element
DataRequirement.dateFilter.id,0,1,http://hl7.org/fhirpath/System.String
DataRequirement.dateFilter.extension,0,*,Extension
DataRequirement.dateFilter.path,0,1,string
DataRequirement.dateFilter.searchParam,0,1,string
DataRequirement.dateFilter.value[x],0,1,dateTime;Period;Duration
DataRequirement.valueFilter,0,*,Element
DataRequirement.valueFilter.id,0,1,http://hl7.org/fhirpath/System.String
DataRequirement.valueFilter.extension,0,*,Extension
DataRequirement.valueFilter.path,0,1,string
DataRequirement.valueFilter.searchParam,0,1,string
DataRequirement.valueFilter.comparator,0,1,code
DataRequirement.valueFilter.value[x],0,1,dateTime;Period;Duration
DataRequirement.limit,0,1,positiveInt
DataRequirement.sort,0,*,Element
DataRequirement.sort.id,0,1,http://hl7.org/fhirpath/System.String
DataRequirement.sort.extension,0,*,Extension
DataRequirement.sort.path,1,1,string
DataRequirement.sort.direction,1,1,code
