path,min,max,type
Dosage.id,0,1,http://hl7.org/fhirpath/System.String
Dosage.extension,0,*,Extension
Dosage.modifierExtension,0,*,Extension
Dosage.sequence,0,1,integer
Dosage.text,0,1,string
Dosage.additionalInstruction,0,*,CodeableConcept
Dosage.patientInstruction,0,1,string
Dosage.timing,0,1,Timing
Dosage.asNeeded,0,1,boolean
Dosage.asNeededFor,0,*,CodeableConcept
Dosage.site,0,1,CodeableConcept
Dosage.route,0,1,CodeableConcept
Dosage.method,0,1,CodeableConcept
Dosage.doseAndRate,0,*,Element
Dosage.doseAndRate.id,0,1,http://hl7.org/fhirpath/System.String
Dosage.doseAndRate.extension,0,*,Extension
Dosage.doseAndRate.type,0,1,CodeableConcept
Dosage.doseAndRate.dose[x],0,1,Range;Quantity
Dosage.doseAndRate.rate[x],0,1,Ratio;Range;Quantity
Dosage.maxDosePerPeriod,0,*,Ratio
Dosage.maxDosePerAdministration,0,1,Quantity
Dosage.maxDosePerLifetime,0,1,Quantity
