path,min,max,type
ElementDefinition.id,0,1,http://hl7.org/fhirpath/System.String
ElementDefinition.extension,0,*,Extension
ElementDefinition.modifierExtension,0,*,Extension
ElementDefinition.path,1,1,string
ElementDefinition.representation,0,*,code
ElementDefinition.sliceName,0,1,string
ElementDefinition.sliceIsConstraining,0,1,boolean
ElementDefinition.label,0,1,string
ElementDefinition.code,0,*,Coding
ElementDefinition.slicing,0,1,Element
ElementDefinition.slicing.id,0,1,http://hl7.org/fhirpath/System.String
ElementDefinition.slicing.extension,0,*,Extension
ElementDefinition.slicing.discriminator,0,*,Element
ElementDefinition.slicing.discriminator.id,0,1,http://hl7.org/fhirpath/System.String
ElementDefinition.slicing.discriminator.extension,0,*,Extension
ElementDefinition.slicing.discriminator.type,1,1,code
ElementDefinition.slicing.discriminator.path,1,1,string
ElementDefinition.slicing.description,0,1,string
ElementDefinition.slicing.ordered,0,1,boolean
ElementDefinition.slicing.rules,1,1,code
ElementDefinition.short,0,1,string
ElementDefinition.definition,0,1,markdown
ElementDefinition.comment,0,1,markdown
ElementDefinition.requirements,0,1,markdown
ElementDefinition.alias,0,*,string
ElementDefinition.min,0,1,unsignedInt
ElementDefinition.max,0,1,string
ElementDefinition.base,0,1,Element
ElementDefinition.base.id,0,1,http://hl7.org/fhirpath/System.String
ElementDefinition.base.extension,0,*,Extension
ElementDefinition.base.path,1,1,string
ElementDefinition.base.min,1,1,unsignedInt
ElementDefinition.base.max,1,1,string
ElementDefinition.contentReference,0,1,uri
ElementDefinition.type,0,*,Element
ElementDefinition.type.id,0,1,http://hl7.org/fhirpath/System.String
ElementDefinition.type.extension,0,*,Extension
ElementDefinition.type.code,1,1,uri
ElementDefinition.type.profile,0,*,canonical
ElementDefinition.type.targetProfile,0,*,canonical
ElementDefinition.type.aggregation,0,*,code
ElementDefinition.type.versioning,0,1,code
ElementDefinition.defaultValue[x],0,1,base64Binary;boolean;canonical;code;date;dateTime;decimal;id;instant;integer;integer64;markdown;oid;positiveInt;string;time;unsignedInt;uri;url;uuid;Address;Age;Annotation;Attachment;CodeableConcept;CodeableReference;Coding;ContactPoint;Count;Distance;Duration;HumanName;Identifier;Money;Period;Quantity;Range;Ratio;RatioRange;Reference;SampledData;Signature;Timing;ContactDetail;DataRequirement;Expression;ParameterDefinition;RelatedArtifact;TriggerDefinition;UsageContext;Availability;ExtendedContactDetail;Dosage;Meta
ElementDefinition.meaningWhenMissing,0,1,markdown
ElementDefinition.orderMeaning,0,1,string
