path,min,max,type
Timing.id,0,1,http://hl7.org/fhirpath/System.String
Timing.extension,0,*,Extension
Timing.modifierExtension,0,*,Extension
Timing.event,0,*,dateTime
Timing.repeat,0,1,Element
Timing.repeat.id,0,1,http://hl7.org/fhirpath/System.String
Timing.repeat.extension,0,*,Extension
Timing.repeat.bounds[x],0,1,Duration;Range;Period
Timing.repeat.count,0,1,positiveInt
Timing.repeat.countMax,0,1,positiveInt
Timing.repeat.duration,0,1,decimal
Timing.repeat.durationMax,0,1,decimal
Timing.repeat.durationUnit,0,1,code
Timing.repeat.frequency,0,1,positiveInt
Timing.repeat.frequencyMax,0,1,positiveInt
Timing.repeat.period,0,1,decimal
Timing.repeat.periodMax,0,1,decimal
Timing.repeat.periodUnit,0,1,code
Timing.repeat.dayOfWeek,0,*,code
Timing.repeat.timeOfDay,0,*,time
Timing.repeat.when,0,*,code
Timing.repeat.offset,0,1,unsignedInt
Timing.code,0,1,CodeableConcept
